"ID","AccStronger","MaxPoints","DotDiff"
"eznslb",0.86,7200,2.65357142857143
"feuuwp",0.96,6760,2.98928571428571
"ffyxau",1,7600,3.5
"fgeabe",0.72,6315,2.45714285714286
"firqwt",0.94,8265,3.13571428571428
"fjhhox",0.96,8595,2.92857142857143
"fkoegk",0.88,6645,2.26785714285714
"flnpct",0.94,8880,3.23928571428571
"fnbpzd",0.94,7920,2.97142857142857
"fqocze",0.98,8575,3.48928571428571
"fqwihg",0.92,8760,3.46785714285714
"fshrly",0.78,7380,2.3
"fspizy",0.88,8300,2.80714285714286
"fvahyn",0.96,8510,2.95357142857143
"fwxjrh",0.94,8485,2.86785714285714
"fxrahc",0.98,7725,3.11428571428571
"gagmbf",0.9,7755,2.70357142857143
"gciwnv",0.96,8520,3.44285714285714
"gdolnp",0.84,7825,2.51785714285714
"gfoarr",0.92,6720,2.68214285714286
"ghztbc",0.84,6960,2.82142857142857
"gjopdx",0.84,6870,2.61428571428571
"gjxsso",0.96,8320,2.63928571428571
"glpcfn",0.98,7995,3.18928571428571
"gncyvf",1,8260,3.375
"gnuzlk",1,8855,3.12142857142857
"gpnmji",0.8,8680,3.06785714285714
"guylfo",0.84,7300,2.85357142857143
"gvwvxr",0.959183673469388,8930,2.97857142857143
"gwfgik",0.94,8495,3.325
"hadeyd",0.98,7900,2.925
"hblyif",0.94,9120,3.5
"hjdyci",0.86,6690,3.175
"hjfxry",0.8,7180,3.43214285714286
"hoglcr",1,8715,3.74642857142857
"hpqxgd",0.92,7160,2.87142857142857
"hpwhsb",0.98,9190,3.30714285714286
"hvemrb",0.84,6995,2.83928571428571
"hwcgcn",0.89,6430,2.45357142857143
"hxfakm",0.96,8485,3.63214285714286
"hxtgyv",0.96,7980,2.93214285714286
"hxuexr",0.88,9055,3.32142857142857
"ibayzr",0.9,8090,3.05714285714286
"ibcxza",0.94,8835,3.15
"idstex",0.82,6790,2.75357142857143
"ijsfnp",0.92,7050,2.70714285714286
"imhoxw",0.94,4980,3.19642857142857
"imsbrm",0.82,6785,2.38928571428571
"iqwtkc",0.96,6700,3.375
"iywhck",0.74,6300,2.58928571428571
"izwkwu",0.9,8795,2.61785714285714
"jdahvu",0.88,6645,2.50357142857143
"jhpqla",0.94,7505,3.41428571428571
"jhqjpe",0.92,6670,2.93928571428571
"jhtupl",0.9,8895,2.775
"jhyvze",0.94,7005,3.23928571428571
"jixpqi",0.98,8650,3.12857142857143
"jmylld",0.92,9295,3.20714285714286
"jnfzqs",0.78,7515,2.69285714285714
"joeqsc",0.94,6925,3.09285714285714
"jtwonb",0.72,6995,2.15
"judblj",0.92,8285,3.23571428571428
"jykmtv",0.98,8270,3.31785714285714
"jzppss",0.92,8610,3.04285714285714
"kcwukt",0.82,7400,3.1
"kercbg",0.78,6520,2.83928571428571
"klxivo",0.88,5485,2.78571428571428
"klysaz",0.88,8420,3.10714285714286
"kmzxxa",0.9,8035,2.92142857142857
"kpbdjo",0.88,6950,2.92857142857143
"kpdohs",1,8450,3.26428571428571
"ktnytd",0.88,6430,2.42857142857143
"kwkhzd",0.98,7745,3.14285714285714
"kxaghb",0.98,7990,2.97857142857143
"kzmcvn",0.9,7975,2.81071428571428
"lbbqnj",0.92,7505,2.62857142857143
"leazpy",0.98,6145,2.95357142857143
"lelxwg",0.9,8215,3.23571428571428
"lfthma",0.929292929292929,8330,2.86428571428571
"lgrlmx",0.92,7475,2.59285714285714
"lncucz",0.92,7295,2.82142857142857
"lxhajy",0.76,7525,2.21071428571429
"lzdjiv",0.88,8675,2.93214285714286
"maolcx",0.98,9120,3.13571428571429
"mewwfa",0.84,6605,2.51785714285714
"mfkxfk",0.88,6970,2.825
"mimvuu",0.96,8970,3.125
"mkgyhl",0.7,7060,1.775
"mlkhsr",0.8,8010,2.98214285714286
"mlpttd",0.96,9070,2.92142857142857
"mszdlx",0.9,8435,2.87857142857143
"mtozef",0.82,7170,2.48214285714285
"mtzjkp",0.82,5665,2.76071428571429
"mzdlia",0.9,8300,3.44642857142857
"mzqxjn",0.92,7875,2.92142857142857
"mzrzkm",0.92,8260,2.71071428571428
"nbxucu",1,8045,2.88928571428571
"nbzrsb",0.98,8170,2.93928571428571
"ncokke",0.9,7600,3.25
"ndwnrq",0.94,7340,3.03214285714286
"nkszmf",0.9,7370,2.69642857142857
"nndgxg",0.96,8130,2.65357142857143
"nobrng",0.9,7210,2.9
"nslgbj",0.96,8175,2.97857142857143
"nvpgwx",0.96,7300,3.03214285714286
"nybffa",0.86,7820,2.80714285714286
"oaqvbo",1,8560,3.36071428571428
"ogljea",0.96,8090,2.875
"okpumv",1,8340,3.34642857142857
"onqkar",0.94,7400,3.225
"ontubi",0.88,8335,2.86428571428571
"oohvdj",0.88,7310,3.33571428571429
"ooieql",0.84,8330,2.73928571428571
"orcavs",0.96,8835,3
"osdqwd",0.92,8380,3.00357142857143
"ouilkv",0.74,6270,2.26785714285714
"ozewqu",0.8,6865,2.53928571428571
"ozlaej",0.96,7500,2.74642857142857
"ozwfau",0.82,7630,3.19642857142857
"paigmf",0.86,7595,2.96785714285714
"pclugh",1,7910,3.45357142857143
"peinrf",0.86,8155,2.76785714285714
"pfrawm",0.94,6680,2.9
"pgkbhm",0.88,7805,2.56428571428571
"piubso",0.98,8965,3.075
"pjyvgj",0.86,6800,2.29285714285714
"ppblhf",0.8,8820,3.52142857142857
"pppvmf",0.9,8420,3.63928571428571
"pqnglx",0.96,8465,3.03214285714286
"pyuakf",0.92,8565,3.05357142857143
"pywqsk",0.9,7065,3.61071428571429
"pzlxpd",0.7,6485,2.52857142857143
"qbjmlb",0.82,6590,3.02857142857143
"qdqvvw",0.92,7355,2.57857142857143
"qejmwe",0.98,8915,3.2
"qfkldg",1,8825,3.26785714285714
"qfqqcg",0.9,7130,2.74642857142857
"qfxfal",0.98,7655,3.18214285714286
"qgegor",0.96,8575,3.23214285714286
"qgsxyv",0.86,9010,2.99642857142857
"qhjbdc",0.96,8275,2.79285714285714
"qidndc",0.68,6000,1.33571428571429
"qkxdlc",0.94,8950,2.93571428571429
"qnskfi",0.98,8545,3.19642857142857
"qogqua",0.84,7080,2.58214285714286
"qozgyz",0.86,8245,2.90357142857143
"qpcbmy",0.82,7790,2.37142857142857
"qpknfg",0.94,8665,2.96071428571428
"qwjohq",0.96,8880,3.26071428571428
"qwuoax",0.76,6565,2.32142857142857
"qzqbxm",0.94,8030,2.85714285714286
"raiien",0.9,8090,3.22857142857143
"rbmaov",0.88,6715,2.75
"rciguo",0.9,9160,3.16785714285714
"rdwchy",0.98,8735,3.69285714285714
"remicc",0.88,6950,2.53928571428571
"rezzyp",1,8495,3.21785714285714
"riwsez",0.74,7605,2.71428571428571
"rkcvfz",1,6000,3.06428571428571
"rknolh",1,9245,3.35357142857143
"rprqfi",0.86,6965,2.35357142857143
"rqkgfv",0.86,6685,2.69642857142857
"rqzdvs",0.94,8970,3.07142857142857
"rstsnh",0.94,7745,2.77857142857143
"rtxupj",0.94,8260,2.87142857142857
"rukzhk",0.8,6500,2.63928571428571
"rwzpep",0.84,6685,2.69642857142857
"rxtzup",0.96,8890,3.3
"sanzxy",1,7895,2.99642857142857
"sbgsnp",0.94,9055,3.49285714285714
"scntot",0.94,7755,2.79642857142857
"seggwv",0.98,8505,3.3
"senyuo",0.84,8055,2.60714285714286
"sfadvb",0.9,8095,2.82142857142857
"sjbaqj",0.84,8365,2.92857142857143
"sjsouq",0.92,6190,2.61428571428571
"snshfr",0.9,8870,3.26785714285714
"soychp",0.88,7200,2.98214285714286
"srvvpn",0.92,8630,3.3
"ssmshi",0.86,6310,2.18214285714286
"ssrwqq",0.96,7695,2.86428571428571
"sstnyt",0.98,7705,3.00357142857143
"supifp",0.96,7485,2.91428571428571
"szuaim",0.92,8940,2.94285714285714
"tiircw",0.94,7200,2.91071428571428
"tjpjme",0.9,7390,2.96428571428571
"tjslvz",0.82,7275,2.79285714285714
"tjxwnl",0.94,7660,2.82857142857143
"tkiuxl",1,7950,2.69285714285714
"tlbhgj",0.94,8060,2.99285714285714
"tlmbpc",0.64,7650,3.02857142857143
"tsgzjk",0.84,7725,2.77857142857143
"tudrgk",0.76,6700,3.09285714285714
"tusseo",0.94,7750,2.74285714285714
"tvfgvw",0.98,7890,2.58571428571428
"tvnyeh",0.94,6950,2.98571428571429
"twhwwl",0.96,7950,2.46071428571428
"txkdyt",0.94,7350,2.60714285714286
"tykzjy",0.88,7030,2.83571428571428
"udzhke",0.96,7100,3.03928571428571
"ufguqm",0.9,7320,2.68928571428571
"ugcqsq",0.94,7000,3.20357142857143
"ugfplf",0.94,8940,3.19642857142857
"uhsxyv",0.76,5980,2.15
"uirolo",0.8,6480,2.00357142857143
"ukkrwh",0.88,7080,2.67857142857143
"ulcuhw",0.86,8340,2.86428571428571
"uqgulm",0.92,7735,2.83571428571428
"uqpkkw",0.96,8830,2.93571428571428
"usduom",0.88,8715,2.63928571428571
"uxwsge",0.96,8665,3.72142857142857
"vdydgj",0.94,7975,2.71071428571429
"vewebq",0.82,6980,2.96785714285714
"vndqrn",0.88,6805,2.57142857142857
"vnrxhl",0.9,8925,3.26428571428571
"vokgop",0.82,7410,2.8
"vovqnr",0.88,8955,3.44285714285714
"vpeoav",0.94,8550,2.63928571428571
"vsohaa",0.94,8650,3.42142857142857
"vtshoo",0.84,8365,2.98571428571429
"vumkpn",0.72,7760,2.93928571428571
"vuxvkr",0.84,9150,3.14285714285714
"vzwblg",0.94,8050,3.03928571428571
"waqmdf",0.88,6660,2.37142857142857
"wblvzc",0.979591836734694,7205,2.88571428571429
"wcpavc",0.84,7195,3.27857142857143
"wedehs",0.68,6530,2.51428571428572
"wetvle",0.94,6815,2.89285714285714
"whcayi",0.96,7850,3.725
"wixagw",0.9,8245,2.92142857142857
"wizxub",0.9,6875,3.45357142857143
"wjieli",0.84,7000,2.31428571428571
"wlkttx",0.9,9045,2.9
"wmfglg",0.9,7395,3.11785714285714
"wmuiyt",0.9,7590,2.96071428571428
"wnmwin",0.96078431372549,8195,3.15
"woilsy",0.96,7890,2.83571428571428
"wqdbfl",0.92,8570,3.16071428571428
"wqiotn",0.92,8710,3.03214285714286
"wqtxpa",0.92,8925,2.92142857142857
"wqyqdy",0.84,7670,2.88928571428571
"wttzoo",0.92,9260,3.17142857142857
"wvlnpd",0.9,8420,2.55357142857143
"wxajhf",0.96,8965,2.98571428571428
"wztkob",0.92,9025,3.11428571428571
"xaoaob",0.88,6505,2.47857142857143
"xddxry",0.96,9110,3.61428571428571
"xdekgz",0.98,7980,2.74642857142857
"xfypfa",0.96,8125,3.13214285714286
"xgkaqk",0.86,6320,3.07142857142857
"xheerd",0.903846153846154,7700,2.96785714285714
"ximllb",0.94,8535,2.58928571428571
"xjtley",0.94,8765,2.81785714285714
"xkmsjz",0.857142857142857,7040,2.51071428571428
"xkrlnk",0.94,8840,3.01071428571429
"xlpdgo",0.74,7730,2.80357142857143
"xmphih",0.76,7700,2.76428571428571
"xmweot",0.8,6695,2.41071428571429
"xnjzqm",0.9,7530,3.08214285714286
"xnooab",0.92,7995,3.075
"xpcolh",0.96,7065,2.52857142857143
"xplctl",0.92,9000,3.03928571428571
"xqcdbk",0.94,8635,2.99642857142857
"xuslik",0.92,6790,2.71071428571428
"xxrgdy",0.94,8350,3.05357142857143
"xzbmos",0.9,7970,2.57142857142857
"yajqbj",0.84,7020,2.03214285714286
"yccctj",0.94,8895,3.28214285714286
"ycqvca",0.98,6900,3.03928571428571
"yduire",0.96,8900,2.87857142857143
"ydxkpc",0.74,6915,2.50714285714286
"yeezsi",0.9,8725,3.18214285714286
"ympcfq",0.8,7040,2.55
"ynnshf",0.92,7300,3.03928571428571
"ypavpo",0.78,6215,2.40357142857143
"yqqfsz",0.88,7680,2.95
"yvxvde",0.84,5845,2.36428571428571
"yxgpae",0.92,7000,3.00357142857143
"yzlzez",0.8,7200,2.875
"zaszmp",0.88,9000,2.91071428571428
"zbdkff",0.9,8010,2.89642857142857
"zdbqqt",0.9,6785,2.62857142857143
"zdfgkk",0.68,6400,2.15357142857143
"zhzczp",0.96,9195,3.47857142857143
"zipdjg",0.88,6260,2.41428571428571
"zoazno",0.92,7995,2.87857142857143
"zoptjr",0.98,8415,3.08214285714286
"zpnzas",0.88,5970,2.56071428571428
"zqicdq",0.92,7975,3.225
"zsjhao",0.98,8285,3.15714285714286
"zsxgyb",0.9,7660,2.59642857142857
"ztiovk",0.88,8325,2.66071428571428
"zuruwj",0.9,8755,3.22857142857143
"zvxoil",0.94,7970,2.95714285714286
"zwmwvk",0.84,7000,2.61785714285714
"zwsauy",0.68,6135,2.48571428571428
"zwwbce",0.88,9065,2.74285714285714
"zzcjvb",0.84,7300,3.18214285714286
